533817185488076807,250
533817189120081940,51
533817194266755072,36507
533817202412093477,2728
533817210427146240,1423
533817201283563520,5082
534417691344109578,2677
533817195730567178,2669
536510787695542272,6057
533817205196849172,1567
533817203368263691,2934
533817198343356440,1213
561957782664773662,553
533817199899443200,7884
533817183311233034,1515
533817191401914381,38
533817184519061517,1080
533817197085327371,2002
534014180802691108,265
533817192974778389,97
533817206249750542,88
533817207839391764,1025
533959187265355806,522
558925607971323904,112
533817190391218177,72
549287597134839809,54
579734477220216835,1
580821511993163797,108
581804620527960095,24
533817208883773461,42
587593622434742272,38
533817187194896424,45
593180419458072596,98
600295091185385513,113
